Stratum.1,Stratum.2,Stratum.3,Stratum.4,Stratum.5
1,24,28,50,85
2,30,29,51,102
3,37,38,65,304
4,40,39,66,305
5,41,64,67,346
6,42,69,68,347
7,49,72,83,NA
8,52,73,84,NA
9,55,87,86,NA
10,56,88,100,NA
11,63,104,101,NA
12,70,114,103,NA
13,71,115,116,NA
14,74,121,117,NA
15,81,122,118,NA
16,82,131,119,NA
17,89,132,120,NA
18,90,133,135,NA
19,91,134,303,NA
20,92,136,306,NA
21,99,137,307,NA
22,105,138,308,NA
23,106,148,309,NA
25,107,149,310,NA
26,110,152,311,NA
27,111,153,312,NA
31,113,192,313,NA
32,125,206,332,NA
33,126,251,333,NA
34,127,266,339,NA
35,130,298,340,NA
36,139,299,341,NA
43,140,300,342,NA
44,141,301,343,NA
45,142,302,344,NA
46,147,314,345,NA
47,150,315,348,NA
48,151,316,349,NA
53,154,317,350,NA
54,158,318,351,NA
57,159,319,352,NA
58,162,321,368,NA
59,163,322,369,NA
60,165,323,378,NA
61,166,324,379,NA
62,167,325,452,NA
75,168,326,454,NA
76,169,327,455,NA
77,173,328,475,NA
78,174,329,482,NA
79,181,330,485,NA
80,185,331,486,NA
93,186,334,487,NA
94,191,335,488,NA
95,201,336,489,NA
96,202,337,494,NA
97,205,338,NA,NA
98,207,353,NA,NA
108,212,354,NA,NA
109,213,355,NA,NA
112,216,356,NA,NA
123,217,357,NA,NA
124,225,358,NA,NA
128,226,359,NA,NA
129,230,360,NA,NA
143,231,361,NA,NA
144,236,362,NA,NA
145,237,363,NA,NA
146,245,364,NA,NA
155,246,365,NA,NA
156,248,366,NA,NA
157,253,367,NA,NA
160,254,370,NA,NA
161,265,371,NA,NA
164,269,372,NA,NA
170,273,373,NA,NA
171,278,374,NA,NA
172,293,375,NA,NA
175,294,376,NA,NA
176,295,377,NA,NA
177,296,380,NA,NA
178,297,381,NA,NA
179,320,442,NA,NA
180,382,443,NA,NA
182,383,444,NA,NA
183,440,445,NA,NA
184,441,446,NA,NA
187,460,447,NA,NA
188,461,448,NA,NA
189,462,449,NA,NA
190,463,450,NA,NA
193,466,451,NA,NA
194,467,453,NA,NA
195,509,456,NA,NA
196,510,457,NA,NA
197,511,458,NA,NA
198,512,459,NA,NA
199,513,464,NA,NA
200,514,465,NA,NA
203,516,468,NA,NA
204,524,469,NA,NA
208,570,470,NA,NA
209,572,471,NA,NA
210,576,472,NA,NA
211,577,473,NA,NA
214,NA,474,NA,NA
215,NA,476,NA,NA
218,NA,477,NA,NA
219,NA,478,NA,NA
220,NA,479,NA,NA
221,NA,480,NA,NA
222,NA,481,NA,NA
223,NA,483,NA,NA
224,NA,484,NA,NA
227,NA,490,NA,NA
228,NA,491,NA,NA
229,NA,492,NA,NA
232,NA,493,NA,NA
233,NA,495,NA,NA
234,NA,496,NA,NA
235,NA,497,NA,NA
238,NA,498,NA,NA
239,NA,499,NA,NA
240,NA,500,NA,NA
241,NA,501,NA,NA
242,NA,502,NA,NA
243,NA,503,NA,NA
244,NA,504,NA,NA
247,NA,505,NA,NA
249,NA,506,NA,NA
250,NA,507,NA,NA
252,NA,508,NA,NA
255,NA,515,NA,NA
256,NA,517,NA,NA
257,NA,518,NA,NA
258,NA,519,NA,NA
259,NA,520,NA,NA
260,NA,521,NA,NA
261,NA,522,NA,NA
262,NA,523,NA,NA
263,NA,NA,NA,NA
264,NA,NA,NA,NA
267,NA,NA,NA,NA
268,NA,NA,NA,NA
270,NA,NA,NA,NA
271,NA,NA,NA,NA
272,NA,NA,NA,NA
274,NA,NA,NA,NA
275,NA,NA,NA,NA
276,NA,NA,NA,NA
277,NA,NA,NA,NA
279,NA,NA,NA,NA
280,NA,NA,NA,NA
281,NA,NA,NA,NA
282,NA,NA,NA,NA
283,NA,NA,NA,NA
284,NA,NA,NA,NA
285,NA,NA,NA,NA
286,NA,NA,NA,NA
287,NA,NA,NA,NA
288,NA,NA,NA,NA
289,NA,NA,NA,NA
290,NA,NA,NA,NA
291,NA,NA,NA,NA
292,NA,NA,NA,NA
384,NA,NA,NA,NA
385,NA,NA,NA,NA
386,NA,NA,NA,NA
387,NA,NA,NA,NA
388,NA,NA,NA,NA
389,NA,NA,NA,NA
390,NA,NA,NA,NA
391,NA,NA,NA,NA
392,NA,NA,NA,NA
393,NA,NA,NA,NA
394,NA,NA,NA,NA
395,NA,NA,NA,NA
396,NA,NA,NA,NA
398,NA,NA,NA,NA
399,NA,NA,NA,NA
400,NA,NA,NA,NA
401,NA,NA,NA,NA
402,NA,NA,NA,NA
403,NA,NA,NA,NA
404,NA,NA,NA,NA
405,NA,NA,NA,NA
406,NA,NA,NA,NA
407,NA,NA,NA,NA
408,NA,NA,NA,NA
409,NA,NA,NA,NA
410,NA,NA,NA,NA
411,NA,NA,NA,NA
412,NA,NA,NA,NA
413,NA,NA,NA,NA
414,NA,NA,NA,NA
415,NA,NA,NA,NA
416,NA,NA,NA,NA
417,NA,NA,NA,NA
418,NA,NA,NA,NA
419,NA,NA,NA,NA
420,NA,NA,NA,NA
421,NA,NA,NA,NA
422,NA,NA,NA,NA
423,NA,NA,NA,NA
424,NA,NA,NA,NA
425,NA,NA,NA,NA
426,NA,NA,NA,NA
427,NA,NA,NA,NA
428,NA,NA,NA,NA
429,NA,NA,NA,NA
430,NA,NA,NA,NA
431,NA,NA,NA,NA
432,NA,NA,NA,NA
433,NA,NA,NA,NA
