a,b,c,d,e
1,24,28,50,83
2,30,29,51,84
3,37,38,65,85
4,40,39,66,86
5,41,64,67,102
6,42,69,68,103
7,49,72,87,119
8,52,73,88,120
9,55,104,99,304
10,56,114,100,305
11,63,121,101,308
12,70,122,115,310
13,71,131,116,311
14,74,132,117,312
15,81,133,188,313
16,82,136,134,314
17,89,138,135,315
18,90,148,137,316
19,91,149,298,332
20,92,152,299,339
21,105,153,300,342
22,106,192,301,343
23,107,206,306,345
25,110,251,307,346
26,111,266,321,347
27,113,302,330,348
31,125,317,333,349
32,126,318,335,351
33,127,319,338,352
34,130,322,340,368
35,139,323,341,369
36,140,324,344,374
43,141,325,350,377
44,142,326,353,378
45,147,327,354,482
46,150,328,355,486
47,151,329,356,488
48,154,331,357,475
53,158,334,359,511
54,159,336,360,513
57,162,358,361,518
58,163,363,362,519
59,165,364,366,521
60,166,365,370,522
61,167,367,371,118
62,168,381,372,309
75,169,468,373,303
76,173,469,375,476
77,174,470,376,NA
78,181,471,379,NA
79,185,472,380,NA
80,186,477,442,NA
93,191,504,443,NA
94,201,505,444,NA
95,202,515,445,NA
96,205,517,446,NA
97,207,520,447,NA
98,212,523,448,NA
108,213,337,449,NA
109,216,NA,450,NA
112,217,NA,451,NA
123,225,NA,452,NA
124,226,NA,453,NA
128,230,NA,454,NA
129,231,NA,455,NA
143,236,NA,456,NA
144,237,NA,457,NA
145,245,NA,458,NA
146,246,NA,459,NA
155,248,NA,464,NA
156,253,NA,465,NA
157,254,NA,473,NA
160,265,NA,474,NA
161,269,NA,478,NA
164,273,NA,479,NA
170,278,NA,480,NA
171,293,NA,481,NA
172,294,NA,483,NA
175,295,NA,484,NA
176,296,NA,485,NA
177,297,NA,487,NA
178,320,NA,489,NA
179,382,NA,490,NA
180,383,NA,491,NA
182,440,NA,492,NA
183,441,NA,493,NA
184,460,NA,494,NA
187,461,NA,495,NA
189,462,NA,496,NA
190,463,NA,497,NA
193,466,NA,498,NA
194,467,NA,499,NA
195,509,NA,500,NA
196,510,NA,501,NA
197,512,NA,502,NA
198,514,NA,503,NA
199,516,NA,506,NA
200,524,NA,507,NA
203,570,NA,508,NA
204,572,NA,NA,NA
208,576,NA,NA,NA
209,577,NA,NA,NA
210,NA,NA,NA,NA
211,NA,NA,NA,NA
214,NA,NA,NA,NA
215,NA,NA,NA,NA
218,NA,NA,NA,NA
219,NA,NA,NA,NA
220,NA,NA,NA,NA
221,NA,NA,NA,NA
222,NA,NA,NA,NA
223,NA,NA,NA,NA
224,NA,NA,NA,NA
227,NA,NA,NA,NA
228,NA,NA,NA,NA
229,NA,NA,NA,NA
232,NA,NA,NA,NA
233,NA,NA,NA,NA
234,NA,NA,NA,NA
235,NA,NA,NA,NA
238,NA,NA,NA,NA
239,NA,NA,NA,NA
240,NA,NA,NA,NA
241,NA,NA,NA,NA
242,NA,NA,NA,NA
243,NA,NA,NA,NA
244,NA,NA,NA,NA
247,NA,NA,NA,NA
249,NA,NA,NA,NA
250,NA,NA,NA,NA
252,NA,NA,NA,NA
255,NA,NA,NA,NA
256,NA,NA,NA,NA
257,NA,NA,NA,NA
258,NA,NA,NA,NA
259,NA,NA,NA,NA
260,NA,NA,NA,NA
261,NA,NA,NA,NA
262,NA,NA,NA,NA
263,NA,NA,NA,NA
264,NA,NA,NA,NA
267,NA,NA,NA,NA
268,NA,NA,NA,NA
270,NA,NA,NA,NA
271,NA,NA,NA,NA
272,NA,NA,NA,NA
274,NA,NA,NA,NA
275,NA,NA,NA,NA
276,NA,NA,NA,NA
277,NA,NA,NA,NA
279,NA,NA,NA,NA
280,NA,NA,NA,NA
281,NA,NA,NA,NA
282,NA,NA,NA,NA
283,NA,NA,NA,NA
284,NA,NA,NA,NA
285,NA,NA,NA,NA
286,NA,NA,NA,NA
287,NA,NA,NA,NA
288,NA,NA,NA,NA
289,NA,NA,NA,NA
290,NA,NA,NA,NA
291,NA,NA,NA,NA
292,NA,NA,NA,NA
384,NA,NA,NA,NA
385,NA,NA,NA,NA
386,NA,NA,NA,NA
387,NA,NA,NA,NA
388,NA,NA,NA,NA
389,NA,NA,NA,NA
390,NA,NA,NA,NA
391,NA,NA,NA,NA
392,NA,NA,NA,NA
393,NA,NA,NA,NA
394,NA,NA,NA,NA
395,NA,NA,NA,NA
396,NA,NA,NA,NA
398,NA,NA,NA,NA
399,NA,NA,NA,NA
400,NA,NA,NA,NA
401,NA,NA,NA,NA
402,NA,NA,NA,NA
403,NA,NA,NA,NA
404,NA,NA,NA,NA
405,NA,NA,NA,NA
406,NA,NA,NA,NA
407,NA,NA,NA,NA
408,NA,NA,NA,NA
409,NA,NA,NA,NA
410,NA,NA,NA,NA
411,NA,NA,NA,NA
412,NA,NA,NA,NA
413,NA,NA,NA,NA
414,NA,NA,NA,NA
415,NA,NA,NA,NA
416,NA,NA,NA,NA
417,NA,NA,NA,NA
418,NA,NA,NA,NA
419,NA,NA,NA,NA
420,NA,NA,NA,NA
421,NA,NA,NA,NA
422,NA,NA,NA,NA
423,NA,NA,NA,NA
424,NA,NA,NA,NA
425,NA,NA,NA,NA
426,NA,NA,NA,NA
427,NA,NA,NA,NA
428,NA,NA,NA,NA
429,NA,NA,NA,NA
430,NA,NA,NA,NA
431,NA,NA,NA,NA
432,NA,NA,NA,NA
433,NA,NA,NA,NA
434,NA,NA,NA,NA
435,NA,NA,NA,NA
436,NA,NA,NA,NA
437,NA,NA,NA,NA
438,NA,NA,NA,NA
439,NA,NA,NA,NA
525,NA,NA,NA,NA
526,NA,NA,NA,NA
527,NA,NA,NA,NA
528,NA,NA,NA,NA
529,NA,NA,NA,NA
530,NA,NA,NA,NA
531,NA,NA,NA,NA
532,NA,NA,NA,NA
533,NA,NA,NA,NA
534,NA,NA,NA,NA
535,NA,NA,NA,NA
536,NA,NA,NA,NA
537,NA,NA,NA,NA
538,NA,NA,NA,NA
539,NA,NA,NA,NA
540,NA,NA,NA,NA
541,NA,NA,NA,NA
542,NA,NA,NA,NA
543,NA,NA,NA,NA
544,NA,NA,NA,NA
545,NA,NA,NA,NA
